office,lat,lon
Post Office - Ministry Of Tourism,30.0509267,31.2456016
Post Office - Olympic Village,30.0516508,31.3174807
Post Office - Journalists Syndicate,30.0521,31.2385
seventh district,30.052527,31.33138
Post Office - 8th District,30.0527458,31.350306
Post Office - Television,30.052922,31.230419
Post Office - El Moez Ledin Allah El Fatemy,30.0533695,31.26228
Post Office - El Mahras,30.0538512,31.2393481
Post Office - El Galaa Hospital,30.054455,31.236722
Post Office - El Mohandeseen,30.0545016,31.1973319
Rehab city,30.0549254,31.4909166
Post Office - Auseem,30.0549572,31.1883638
Post Office - Islamic Mission City,30.0561602,31.2779727
Post Office - Bab El Bahr,30.0568974,31.252588
Post Office - Ard El Lewaa,30.0569816,31.2004247
Post Office - 10th District,30.057106,31.380214
Post Office - El Agouza,30.0571978,31.2127875
Post Office - Bahig Mariout,30.0584942,31.2358251
Post Office - Bab El Sheareya,30.0587732,31.2618488
Post Office - Zamalek Tawzeea,30.0588417,31.2175283
Post Office - Zamalek,30.0605128,31.2223831
Post Office - El Faggala,30.061,31.2484
Post Office - Ministry Of Foreign Affairs,30.0623436,31.222592
Post Office - El Zaher,30.0627558,31.259407
Post Office - Ain Shams Medicine,30.0629332,31.2464422
Post Office - El Azbakeya,30.0631902,31.248867
Conferencies Organization Post Office,30.064473,31.310078
Post Office - Abou Rawash,30.064637,31.025217
Post Office - El Sabteya,30.0647,31.236
Post Office - El Qobesy,30.0650854,31.261152
Post Office - Abbaseya,30.0655447,31.2771159
Post Office - Nasr City Bldgs.,30.0662774,31.3226643
Post Office - Sales Taxes,30.0664,31.3254
Post Office - Geziret Badran,30.0668,31.2399
First settlement,30.0672396,31.4609753
Post Office - 10th Village Abbis,30.0675703,31.3146474
Post Office - Ahmed Badawy,30.0680201,31.2491851
Post Office - Qossour El Shawam,30.0683,31.2438
Post Office - Ghamra,30.0684784,31.2676438
Post Office - Magd El Islam,30.0704795,31.259046
Post Office - Ezbet El Matar,30.070737,31.185267
Post Office - Investment Authority,30.0708084,31.2961653
Post Office - El Attar,30.0713096,31.2474953
