adm1,name,address,phone,specialized,lat,lng,types
Qena,ابو تشت المركزى,ش. المستشفى,096/6710605,FALSE,26.1257877,32.101405,General
Qena,الوقف المركزى,السنابسه,096/5440019,FALSE,26.0927766,32.425257,General
Qena,دشنا المركزى,ش. طراد النيل - الصعايدة,096/6740502,FALSE,26.1240085,32.4735163,General
Qena,فرشوط المركزى,ش. بور سعيد,096/6510527,FALSE,26.0599199,32.1578727,General
Qena,قفط المركزى,ش. الجيش,096/6910671,FALSE,25.9959674,32.8102957,General
Qena,قنا العام,ش المدارس قنا,096/5337101,FALSE,26.1596439,32.7073087,General
Qena,قوص المركزى,ش. النيل,096/6840522,FALSE,25.9217588,32.7515262,General
Qena,نجع حمادى العام,ش. التحرير,096/6580191,FALSE,26.0580021,32.2289622,General
Qena,نقادة المركزى,ش. طراد النيل,096/6600440,FALSE,25.908751,32.726372,General
Kafr El-Shikh,الحامول المركزى,ش. عمر بن الخطاب,047/3800441,FALSE,31.3110097,31.1489493,General
Kafr El-Shikh,الرياض المركزى,الرياض - طريق الحامول,047/3860747,FALSE,31.2552851,30.9668219,General
Kafr El-Shikh,بلطيم المركزى,طريق المصيف,047/2510860,FALSE,31.557625,31.0815239,General
Kafr El-Shikh,بيلا المركزى,ش. الثورة,047/3605131,FALSE,31.1776606999999,31.2273663,General
Kafr El-Shikh,دسوق العام,ش. المستشفى,047/2563050,FALSE,31.1377548,30.6441173,General
Kafr El-Shikh,سيدى سالم المركزى,ش. الكورنيش,047/2700513,FALSE,31.2680834,30.7845283,General
Kafr El-Shikh,فوه المركزى الجديد,ش. الفتح بجوار مدرسه التجاره,047/2976777,FALSE,31.204634,30.545978,General
Kafr El-Shikh,قلين المركزى,ش. الجمهورية,047/3400488,FALSE,31.0493263,30.8490729,General
Kafr El-Shikh,كفر الشيخ العام,ش. الدستور - بندر كفر الشيخ,047/3232407,FALSE,31.1165211,30.9426713,General
Kafr El-Shikh,مطوبس المركزى,ش. داير الناحية,047/2710821,FALSE,31.2926982,30.5249602,General
Matrouh,الحمام المركزى,ش الاسكندرية مدينة الحمام,046/4750844,FALSE,30.8518032,29.3848929,General
Matrouh,السلوم المركزى,ش. السلوم الرئيسى,046/4800020,FALSE,31.560929,25.159453,General
Matrouh,الضبعة المركزى,الضبعة,046/4670019,FALSE,31.030592,28.445541,General
Matrouh,العلمين المركزى,امام مجلس المدينة,046/4100212,FALSE,30.8428046,28.9402713,General
Matrouh,النجيلة,النجيلة,046/4540130,FALSE,31.407504,26.5782827,General
Matrouh,رأس الحكمة للإغاثة والطوارىء,طريق اسكندرية -الطريق السريع قبل مرسى مطروح ب65 ك,046/4500006,FALSE,31.1125298,27.8231657,General
Matrouh,سيدى برانى المركزى,سيدى برانى,046/4400070,FALSE,31.610612,25.926092,General
Matrouh,سيوه المركزى,منطقة الرمل - ش. السادات,046/4602019,FALSE,29.1947239,25.5168424,General
Matrouh,مارينا المركزى,ش الشانزلزية الساحل الشمالي مطروح,046/4060005,FALSE,30.817671,29.030981,General
Matrouh,مطروح العام,ش. اسكندرية,046/4933355,FALSE,31.3492894,27.2413547,General
Aswan,السد العالى شرق,نفسية السد العالى وعلاج ادمان,097/3480652,TRUE,NA,NA,Specialised
Aswan,حميات ادفو,ش. مجلس المدينة,097/4707817,TRUE,24.9620313,32.868836,Specialised
Aswan,حميات اسوان,المدينة الصناعية بجوار المسلة الناقصة,097/2302523,TRUE,24.0761296,32.8931353,Specialised
Aswan,رمد اسوان,ش. ابطال التحرير,2303025,TRUE,24.0925978,32.8969345,Specialised
Aswan,صدر ادفو,ش. كورنيش النيل,097/4711723,TRUE,NA,NA,Specialised
Aswan,صدر اسوان,ش. السماد امام كلية التربية,097/2252877,TRUE,NA,NA,Specialised
